Question,Relationship,Norm,Role,UK Full (N = 910),USA Full (N = 862),USA Pilot (N = 432)
(a) How should social AIs treat humans?,Friend,Care,Human in role,"0.68 [0.53, 0.84]","0.63 [0.46, 0.81]","0.49 [0.32, 0.68]"
(a) How should social AIs treat humans?,Friend,Care,AI in role,"0.79 [0.61, 0.99]","1.10 [0.83, 1.39]","0.66 [0.47, 0.86]"
(a) How should social AIs treat humans?,Friend,Hierarchy,Human in role,"1.54 [1.27, 1.76]","1.46 [1.16, 1.77]","1.43 [1.03, 1.85]"
(a) How should social AIs treat humans?,Friend,Hierarchy,AI in role,"1.49 [1.22, 1.71]","1.48 [1.18, 1.79]","1.65 [1.21, 2.08]"
(a) How should social AIs treat humans?,Friend,Mating,Human in role,"1.85 [1.64, 2.00]","2.16 [1.93, 2.38]","2.01 [1.69, 2.33]"
(a) How should social AIs treat humans?,Friend,Mating,AI in role,"1.27 [1.02, 1.55]","1.64 [1.28, 2.00]","1.72 [1.26, 2.16]"
(a) How should social AIs treat humans?,Friend,Transaction,Human in role,"2.17 [1.98, 2.34]","2.41 [2.19, 2.58]","2.27 [1.99, 2.49]"
(a) How should social AIs treat humans?,Friend,Transaction,AI in role,"2.23 [2.03, 2.40]","2.48 [2.26, 2.65]","2.37 [2.06, 2.59]"
(a) How should social AIs treat humans?,Romantic partner,Care,Human in role,"0.44 [0.30, 0.60]","0.52 [0.33, 0.73]","0.67 [0.40, 0.99]"
(a) How should social AIs treat humans?,Romantic partner,Care,AI in role,"1.09 [0.88, 1.27]","1.13 [0.86, 1.43]","0.94 [0.66, 1.26]"
(a) How should social AIs treat humans?,Romantic partner,Hierarchy,Human in role,"1.23 [0.97, 1.51]","1.92 [1.56, 2.21]","1.69 [1.21, 2.12]"
(a) How should social AIs treat humans?,Romantic partner,Hierarchy,AI in role,"1.52 [1.30, 1.71]","1.35 [1.08, 1.65]","1.45 [1.06, 1.82]"
(a) How should social AIs treat humans?,Romantic partner,Mating,Human in role,"0.44 [0.29, 0.62]","0.45 [0.25, 0.70]","0.46 [0.20, 0.78]"
(a) How should social AIs treat humans?,Romantic partner,Mating,AI in role,"2.85 [2.64, 3.04]","2.96 [2.64, 3.17]","3.07 [2.75, 3.34]"
(a) How should social AIs treat humans?,Romantic partner,Transaction,Human in role,"2.27 [2.04, 2.45]","2.17 [1.92, 2.40]","2.24 [1.81, 2.54]"
